,Country/Region,Date,Value,Type,Diff,Week
95,Albania,2020-02-07,0,Cases,0.0,0.0
96,Albania,2020-02-08,0,Cases,0.0,0.0
97,Albania,2020-02-09,0,Cases,0.0,0.0
98,Albania,2020-02-10,0,Cases,0.0,0.0
99,Albania,2020-02-11,0,Cases,0.0,0.0
100,Albania,2020-02-12,0,Cases,0.0,0.0
101,Albania,2020-02-13,0,Cases,0.0,0.0
102,Albania,2020-02-14,0,Cases,0.0,0.0
103,Albania,2020-02-15,0,Cases,0.0,0.0
104,Albania,2020-02-16,0,Cases,0.0,0.0
105,Albania,2020-02-17,0,Cases,0.0,0.0
106,Albania,2020-02-18,0,Cases,0.0,0.0
107,Albania,2020-02-19,0,Cases,0.0,0.0
108,Albania,2020-02-20,0,Cases,0.0,0.0
109,Albania,2020-02-21,0,Cases,0.0,0.0
110,Albania,2020-02-22,0,Cases,0.0,0.0
111,Albania,2020-02-23,0,Cases,0.0,0.0
112,Albania,2020-02-24,0,Cases,0.0,0.0
113,Albania,2020-02-25,0,Cases,0.0,0.0
114,Albania,2020-02-26,0,Cases,0.0,0.0
115,Albania,2020-02-27,0,Cases,0.0,0.0
116,Albania,2020-02-28,0,Cases,0.0,0.0
117,Albania,2020-02-29,0,Cases,0.0,0.0
118,Albania,2020-03-01,0,Cases,0.0,0.0
119,Albania,2020-03-02,0,Cases,0.0,0.0
120,Albania,2020-03-03,0,Cases,0.0,0.0
121,Albania,2020-03-04,0,Cases,0.0,0.0
122,Albania,2020-03-05,0,Cases,0.0,0.0
123,Albania,2020-03-06,0,Cases,0.0,0.0
124,Albania,2020-03-07,0,Cases,0.0,0.0
125,Albania,2020-03-08,0,Cases,0.0,0.0
126,Albania,2020-03-09,2,Cases,2.0,2.0
127,Albania,2020-03-10,10,Cases,8.0,10.0
128,Albania,2020-03-11,12,Cases,2.0,12.0
129,Albania,2020-03-12,23,Cases,11.0,23.0
130,Albania,2020-03-13,33,Cases,10.0,33.0
131,Albania,2020-03-14,38,Cases,5.0,38.0
132,Albania,2020-03-15,42,Cases,4.0,42.0
133,Albania,2020-03-16,51,Cases,9.0,49.0
134,Albania,2020-03-17,55,Cases,4.0,45.0
135,Albania,2020-03-18,59,Cases,4.0,47.0
136,Albania,2020-03-19,64,Cases,5.0,41.0
137,Albania,2020-03-20,70,Cases,6.0,37.0
138,Albania,2020-03-21,76,Cases,6.0,38.0
139,Albania,2020-03-22,89,Cases,13.0,47.0
140,Albania,2020-03-23,104,Cases,15.0,53.0
141,Albania,2020-03-24,123,Cases,19.0,68.0
142,Albania,2020-03-25,146,Cases,23.0,87.0
143,Albania,2020-03-26,174,Cases,28.0,110.0
144,Albania,2020-03-27,186,Cases,12.0,116.0
145,Albania,2020-03-28,197,Cases,11.0,121.0
146,Albania,2020-03-29,212,Cases,15.0,123.0
147,Albania,2020-03-30,223,Cases,11.0,119.0
148,Albania,2020-03-31,243,Cases,20.0,120.0
149,Albania,2020-04-01,259,Cases,16.0,113.0
150,Albania,2020-04-02,277,Cases,18.0,103.0
151,Albania,2020-04-03,304,Cases,27.0,118.0
152,Albania,2020-04-04,333,Cases,29.0,136.0
153,Albania,2020-04-05,361,Cases,28.0,149.0
154,Albania,2020-04-06,377,Cases,16.0,154.0
155,Albania,2020-04-07,383,Cases,6.0,140.0
156,Albania,2020-04-08,400,Cases,17.0,141.0
157,Albania,2020-04-09,409,Cases,9.0,132.0
158,Algeria,2020-01-22,0,Cases,,
159,Algeria,2020-01-23,0,Cases,0.0,
160,Algeria,2020-01-24,0,Cases,0.0,
161,Algeria,2020-01-25,0,Cases,0.0,
162,Algeria,2020-01-26,0,Cases,0.0,
163,Algeria,2020-01-27,0,Cases,0.0,
164,Algeria,2020-01-28,0,Cases,0.0,
165,Algeria,2020-01-29,0,Cases,0.0,0.0
166,Algeria,2020-01-30,0,Cases,0.0,0.0
167,Algeria,2020-01-31,0,Cases,0.0,0.0
168,Algeria,2020-02-01,0,Cases,0.0,0.0
169,Algeria,2020-02-02,0,Cases,0.0,0.0
170,Algeria,2020-02-03,0,Cases,0.0,0.0
171,Algeria,2020-02-04,0,Cases,0.0,0.0
172,Algeria,2020-02-05,0,Cases,0.0,0.0
173,Algeria,2020-02-06,0,Cases,0.0,0.0
174,Algeria,2020-02-07,0,Cases,0.0,0.0
175,Algeria,2020-02-08,0,Cases,0.0,0.0
176,Algeria,2020-02-09,0,Cases,0.0,0.0
